family,comparison,model_a,model_b,dataset,n_pairs,n_nonzero_pairs,mean_cer_a,mean_cer_b,median_cer_a,median_cer_b,w_plus,w_minus,wilcoxon_statistic,p_raw,rank_biserial_r,p_holm,significant_holm_0.05
benchmark,zero-shot vs fine-tuned (in-domain),trocr-large-handwritten,trocr-lora-finetuned,kaggle_rx,780,705,0.5798505661005661,0.11449120324120325,0.5,0.0,245421.5,3443.5,3443.5,6.968756050932979e-111,0.9723263616820365,4.878129235653085e-110,True
benchmark,zero-shot vs fine-tuned (out-of-domain),trocr-large-handwritten,trocr-lora-finetuned,iam,400,257,0.4412171092796093,0.5014738664113664,0.0,0.4,12287.0,20866.0,12287.0,0.00031839767405546503,-0.2587699454046391,0.0006367953481109301,True
benchmark,fine-tuned vs Qwen2.5-VL-3B,trocr-lora-finetuned,qwen2.5-vl-3b,kaggle_rx,780,516,0.11449120324120325,0.4335725385725386,0.0,0.25,11794.5,121591.5,11794.5,4.4295020580487e-59,-0.8231523548198462,2.2147510290243498e-58,True
benchmark,fine-tuned vs GOT-OCR2.0,trocr-lora-finetuned,got-ocr2.0,kaggle_rx,780,619,0.11449120324120325,0.4785664335664335,0.0,0.4285714285714285,5005.5,186884.5,5005.5,8.001086048514264e-93,-0.9478294856428162,4.800651629108558e-92,True
benchmark,fine-tuned vs GOT-OCR2.0 (out-of-domain),trocr-lora-finetuned,got-ocr2.0,iam,400,250,0.5014738664113664,0.3855240315240316,0.4,0.0,24066.5,7308.5,7308.5,2.337410109056986e-13,0.5341195219123506,7.012230327170957e-13,True
benchmark,Qwen2.5-VL-3B vs GOT-OCR2.0 (in-domain),qwen2.5-vl-3b,got-ocr2.0,kaggle_rx,780,577,0.4335725385725386,0.4785664335664335,0.25,0.4285714285714285,42240.0,124513.0,42240.0,9.573441726593248e-25,-0.4933824279023466,3.829376690637299e-24,True
benchmark,Qwen2.5-VL-3B vs GOT-OCR2.0 (out-of-domain),qwen2.5-vl-3b,got-ocr2.0,iam,400,180,1.100437271062271,0.3855240315240316,0.0,0.0,8826.5,7463.5,7463.5,0.32960008595514667,0.08367096378146102,0.32960008595514667,False
ablation,r=8 vs r=16 (in-domain),trocr-lora-r8,trocr-lora-r16,kaggle_rx,780,222,0.1129466366966367,0.1486523199023199,0.0,0.0,7279.5,17473.5,7279.5,1.0050765661849345e-07,-0.41182886922797235,5.025382830924672e-07,True
ablation,r=8 vs r=16 (out-of-domain),trocr-lora-r8,trocr-lora-r16,iam,400,182,0.529942273004773,0.5242357434232434,0.4,0.4285714285714285,8479.0,8174.0,8174.0,0.8301862331743453,0.018315018315018316,1.0,False
ablation,r=32 vs r=16 (in-domain),trocr-lora-finetuned,trocr-lora-r16,kaggle_rx,780,189,0.11449120324120325,0.1486523199023199,0.0,0.0,4778.0,13177.0,4778.0,2.3595607684298534e-08,-0.46778056251740463,1.415736461057912e-07,True
ablation,r=32 vs r=16 (out-of-domain),trocr-lora-finetuned,trocr-lora-r16,iam,400,148,0.5014738664113664,0.5242357434232434,0.4,0.4285714285714285,4596.5,6429.5,4596.5,0.07886860519828838,-0.16624342463268638,0.3154744207931535,False
ablation,no-elastic vs elastic (in-domain),trocr-lora-r16-noelastic,trocr-lora-r16,kaggle_rx,780,206,0.15022047397047394,0.1486523199023199,0.0,0.0,11052.5,10268.5,10268.5,0.646988237837464,0.03677125838375311,1.0,False
ablation,no-elastic vs elastic (out-of-domain),trocr-lora-r16-noelastic,trocr-lora-r16,iam,400,163,0.5624741092241092,0.5242357434232434,0.5,0.4285714285714285,7673.0,5693.0,5693.0,0.1005971008371473,0.14813706419272782,0.3154744207931535,False
